Source,Destination
istio-ingress,front-end
carts,carts-db
orders,orders-db
front-end,session-db
shipping, orders
user,shipping
queue-master,rabbitmq
catalogue,catalogue-db
front-end,carts
front-end,catalogue
front-end,user
front-end,orders
