spanID,startTime,durationNanos,2xx_rate,istio.namespace,http.method,istio.cluster_id,user_agent,response_size,http.status_code,istio.canonical_revision,istio.canonical_service,component,http.url,node_id,net.host.ip,guid:x-request-id,response_flags,zone,downstream_cluster,request_size,upstream_cluster.name,upstream_cluster,peer.address,istio.mesh_id,http.protocol
ZXrHV0qHmT4=,1723410164832533000,953000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,payment,proxy,http://payment/paymentAuth,sidecar~172.20.98.219~payment-d5fdf579-qnx2g.sock-shop~sock-shop.svc.cluster.local,172.20.98.219,451b7145-e8a2-4615-8a8d-1467260c80b9,-,us-east-1c,-,353,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
gCBddYMor4Y=,1723410139084957000,61825000,1,sock-shop,POST,Kubernetes,-,227,406,v1,orders,proxy,http://orders/orders,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,6dc22549-5781-94d0-8078-7ee710cf5d7d,-,us-east-1c,-,232,inbound|80||,inbound|80||,172.20.85.44,cluster.local,HTTP/1.1
26l4do78RfA=,1723410139086898000,55693000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,394,200,v1,orders,proxy,http://user/customers/66b92068dade2b00013f82d4,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,7afd3f0a-331d-4a40-9ef9-e0f8b2a63279,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
SZXaDJ+DiMg=,1723410139087083000,25582000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,1021,200,v1,orders,proxy,http://carts/carts/66b92068dade2b00013f82d4/items,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,8466881d-f24a-4f20-b783-b74f1a782fa6,-,us-east-1c,-,0,outbound|80||carts.sock-shop.svc.cluster.local,outbound|80||carts.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
jdD7ZOEzmrE=,1723410139086269000,50310000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,orders,proxy,http://user/addresses/66b92068dade2b00013f82d8,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,a66c22f5-9a65-4e43-8a55-09c28804c8b5,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
mTHQFz47PLs=,1723410139086620000,55141000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,226,200,v1,orders,proxy,http://user/cards/66b92068dade2b00013f82d6,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,b8e80f3a-6041-4177-80b5-193b3a4b773d,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
TKlibXcpAIc=,1723410139144646000,1103000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,orders,proxy,http://payment/paymentAuth,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,7ab967b1-72ea-40a9-9537-5694372a5f0a,-,us-east-1c,-,354,outbound|80|v1|payment.sock-shop.svc.cluster.local,outbound|80|v1|payment.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
wa//EHiBfrk=,1723410139086876000,47114000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,user,proxy,http://user/addresses/66b92068dade2b00013f82d8,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,a66c22f5-9a65-4e43-8a55-09c28804c8b5,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
k61PDD6DD3w=,1723410139087194000,54267000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,226,200,v1,user,proxy,http://user/cards/66b92068dade2b00013f82d6,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,b8e80f3a-6041-4177-80b5-193b3a4b773d,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
OqApjTDUcQs=,1723410139087417000,54897000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,394,200,v1,user,proxy,http://user/customers/66b92068dade2b00013f82d4,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,7afd3f0a-331d-4a40-9ef9-e0f8b2a63279,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
