Source,Destination
unknown,payment
orders,payment
unknown,shipping
istio-ingress,front-end
istio-ingress,unknown
unknown,queue-master
unknown,catalogue
unknown,orders
orders,shipping
unknown,user
orders,user
unknown,rabbitmq
unknown,carts
orders,carts
