sequence,label
"['1726408799821751379', '1726408799821737623', '1726408799819885631', '1726408799818965516', '1726408799815248471', '1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528']",normal
"['1726408799821737623', '1726408799819885631', '1726408799818965516', '1726408799815248471', '1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440']",normal
"['1726408799819885631', '1726408799818965516', '1726408799815248471', '1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317']",normal
"['1726408799818965516', '1726408799815248471', '1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308']",normal
"['1726408799815248471', '1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487']",normal
"['1726408799810262661', '1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288']",normal
"['1726408799809453805', '1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899']",normal
"['1726408799807371664', '1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366']",normal
"['1726408799807355585', '1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977']",normal
"['1726408799805055528', '1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222']",normal
"['1726408799802300440', '1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465']",normal
"['1726408799802284317', '1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873']",normal
"['1726408799800952308', '1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029']",normal
"['1726408799799586487', '1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472']",normal
"['1726408799799477288', '1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115']",normal
"['1726408799799362899', '1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456']",normal
"['1726408799799219366', '1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481']",normal
"['1726408799798757977', '1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564']",normal
"['1726408799798706222', '1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157']",normal
"['1726408799796874465', '1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075']",normal
"['1726408799796731873', '1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170']",normal
